t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785509267.1157,2026-07-31T10:47:47.115,0.053,1,,,,0,,,,,,,,0,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.2154,2026-07-31T10:47:47.215,0.153,2,,,,0,,,,-0.1549,108.18,-0.1549,-611.82,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.3151,2026-07-31T10:47:47.315,0.253,3,,,,0,,,,-0.1525,108.17,-0.1525,-611.83,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.4136,2026-07-31T10:47:47.413,0.351,4,,,,0,,,,-0.1559,108.16,-0.1559,-611.84,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.5130,2026-07-31T10:47:47.513,0.450,5,,,,0,,,,-0.1521,108.13,-0.1521,-611.87,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.6118,2026-07-31T10:47:47.611,0.549,6,,,,0,,,,-0.1526,108.11,-0.1526,-611.89,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.7115,2026-07-31T10:47:47.711,0.649,7,,,,0,,,,-0.1569,108.09,-0.1569,-611.91,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.8135,2026-07-31T10:47:47.813,0.751,8,,,,0,,,,-0.1532,108.08,-0.1532,-611.92,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509267.9115,2026-07-31T10:47:47.911,0.849,9,,,,0,,,,-0.1543,108.07,-0.1543,-611.93,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509268.0110,2026-07-31T10:47:48.010,0.948,10,,,,0,,,,-0.1528,108.06,-0.1528,-611.94,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509268.1108,2026-07-31T10:47:48.110,1.048,11,,,,0,,,,-0.1578,108.06,-0.1578,-611.94,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509268.2097,2026-07-31T10:47:48.209,1.147,12,,,,0,,,,-0.1551,108.04,-0.1551,-611.96,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509268.3086,2026-07-31T10:47:48.308,1.246,13,,,,0,,,,-0.1556,108.02,-0.1556,-611.98,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509268.4081,2026-07-31T10:47:48.408,1.346,14,,,,0,,,,-0.1564,108.02,-0.1564,-611.98,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509268.5068,2026-07-31T10:47:48.506,1.444,15,,,,0,,,,-0.1542,108.00,-0.1542,-612.00,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
