t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785507301.0119,2026-07-31T10:15:01.011,0.047,1,,,,0,,,,,,,,0,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.1117,2026-07-31T10:15:01.111,0.147,2,,,,0,,,,-0.1438,-131.15,-0.1438,-131.15,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.2107,2026-07-31T10:15:01.210,0.246,3,,,,0,,,,-0.1449,-131.17,-0.1449,-131.17,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.3099,2026-07-31T10:15:01.309,0.345,4,,,,0,,,,-0.1446,-131.20,-0.1446,-131.20,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.4089,2026-07-31T10:15:01.408,0.444,5,,,,0,,,,-0.1408,-131.21,-0.1408,-131.21,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.5100,2026-07-31T10:15:01.510,0.545,6,,,,0,,,,-0.1455,-131.23,-0.1455,-131.23,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.6097,2026-07-31T10:15:01.609,0.645,7,,,,0,,,,-0.1454,-131.25,-0.1454,-131.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.7086,2026-07-31T10:15:01.708,0.743,8,,,,0,,,,-0.1421,-131.28,-0.1421,-131.28,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.8074,2026-07-31T10:15:01.807,0.842,9,,,,0,,,,-0.1466,-131.30,-0.1466,-131.30,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507301.9065,2026-07-31T10:15:01.906,0.941,10,,,,0,,,,-0.1468,-131.32,-0.1468,-131.32,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.0055,2026-07-31T10:15:02.005,1.040,11,,,,0,,,,-0.1473,-131.34,-0.1473,-131.34,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.1058,2026-07-31T10:15:02.105,1.141,12,,,,0,,,,-0.1461,-131.35,-0.1461,-131.35,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.2046,2026-07-31T10:15:02.204,1.239,13,,,,0,,,,-0.1438,-131.38,-0.1438,-131.38,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.3030,2026-07-31T10:15:02.303,1.338,14,,,,0,,,,-0.1455,-131.40,-0.1455,-131.40,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.4020,2026-07-31T10:15:02.402,1.437,15,,,,0,,,,-0.1480,-131.41,-0.1480,-131.41,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.5010,2026-07-31T10:15:02.501,1.536,16,,,,0,,,,-0.1451,-131.45,-0.1451,-131.45,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.6018,2026-07-31T10:15:02.601,1.637,17,,,,0,,,,-0.1427,-131.46,-0.1427,-131.46,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.7018,2026-07-31T10:15:02.701,1.737,18,,,,0,,,,-0.1428,-131.48,-0.1428,-131.48,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.8002,2026-07-31T10:15:02.800,1.835,19,,,,0,,,,-0.1483,-131.49,-0.1483,-131.49,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.8997,2026-07-31T10:15:02.899,1.935,20,,,,0,,,,-0.1457,-131.52,-0.1457,-131.52,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507302.9983,2026-07-31T10:15:02.998,2.033,21,,,,0,,,,-0.1454,-131.55,-0.1454,-131.55,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507303.0978,2026-07-31T10:15:03.097,2.133,22,,,,0,,,,-0.1442,-131.56,-0.1442,-131.56,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507303.1965,2026-07-31T10:15:03.196,2.231,23,,,,0,,,,-0.1434,-131.59,-0.1434,-131.59,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507303.2954,2026-07-31T10:15:03.295,2.330,24,,,,0,,,,-0.1455,-131.60,-0.1455,-131.60,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507303.3947,2026-07-31T10:15:03.394,2.430,25,,,,0,,,,-0.1454,-131.62,-0.1454,-131.62,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785507303.4945,2026-07-31T10:15:03.494,2.529,26,,,,0,,,,-0.1429,-131.65,-0.1429,-131.65,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
