t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785511736.5985,2026-07-31T11:28:56.598,0.050,1,,,,0,,,,,,,,0,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511736.6993,2026-07-31T11:28:56.699,0.151,2,,,,0,,,,-0.1055,178.80,-0.1055,-3061.20,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511736.7996,2026-07-31T11:28:56.799,0.251,3,,,,0,,,,-0.1086,178.77,-0.1086,-3061.23,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511736.8987,2026-07-31T11:28:56.898,0.350,4,,,,0,,,,-0.1106,178.78,-0.1106,-3061.22,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511736.9972,2026-07-31T11:28:56.997,0.449,5,,,,0,,,,-0.1022,178.77,-0.1022,-3061.23,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.0965,2026-07-31T11:28:57.096,0.548,6,,,,0,,,,-0.1059,178.76,-0.1059,-3061.24,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.1960,2026-07-31T11:28:57.195,0.647,7,,,,0,,,,-0.1013,178.66,-0.1013,-3061.34,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.2951,2026-07-31T11:28:57.295,0.747,8,,,,0,,,,-0.1042,178.44,-0.1042,-3061.56,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.3950,2026-07-31T11:28:57.395,0.846,9,,,,0,,,,-0.1039,178.24,-0.1039,-3061.76,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.4927,2026-07-31T11:28:57.492,0.944,10,,,,0,,,,-0.0973,177.78,-0.0973,-3062.22,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.5912,2026-07-31T11:28:57.591,1.043,11,,,,0,,,,-0.0977,177.55,-0.0977,-3062.45,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.6908,2026-07-31T11:28:57.690,1.142,12,,,,0,,,,-0.1012,177.05,-0.1012,-3062.95,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.7907,2026-07-31T11:28:57.790,1.242,13,,,,0,,,,-0.1001,176.96,-0.1001,-3063.04,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785511737.8898,2026-07-31T11:28:57.889,1.341,14,,,,0,,,,-0.1011,176.94,-0.1011,-3063.06,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
