t_epoch,iso_time,t_elapsed_s,depth_m,depth_target_m,depth_err_m,yaw_deg,yaw_target_deg,yaw_err_deg,surge_cmd,heave_cmd,yaw_cmd,throttle_pct
1785506307.7311,2026-07-31T09:58:27.731,0.000,0.3940,0.5000,-0.1060,24.40,20.00,-4.40,+1.000,-0.287,+0.093,30.0
1785506307.8308,2026-07-31T09:58:27.831,0.100,0.3956,0.5000,-0.1044,24.82,20.00,-4.82,+1.000,-0.289,+0.103,30.0
1785506307.9302,2026-07-31T09:58:27.930,0.199,0.3933,0.5000,-0.1067,25.07,20.00,-5.07,+1.000,-0.297,+0.109,30.0
1785506308.0291,2026-07-31T09:58:28.029,0.298,0.3984,0.5000,-0.1016,25.57,20.00,-5.57,+1.000,-0.291,+0.120,30.0
1785506308.1295,2026-07-31T09:58:28.129,0.399,0.4039,0.5000,-0.0961,25.92,20.00,-5.92,+1.000,-0.284,+0.129,30.0
1785506308.2297,2026-07-31T09:58:28.229,0.499,0.4026,0.5000,-0.0974,25.80,20.00,-5.80,+1.000,-0.290,+0.129,30.0
1785506308.3291,2026-07-31T09:58:28.329,0.598,0.3951,0.5000,-0.1049,25.50,20.00,-5.50,+1.000,-0.309,+0.126,30.0
1785506308.4278,2026-07-31T09:58:28.428,0.697,0.4185,0.5000,-0.0815,24.68,20.00,-4.68,+1.000,-0.266,+0.113,30.0
1785506308.5271,2026-07-31T09:58:28.527,0.796,0.4202,0.5000,-0.0798,23.77,20.00,-3.77,+1.000,-0.266,+0.098,30.0
1785506308.6266,2026-07-31T09:58:28.626,0.896,0.4240,0.5000,-0.0760,23.30,20.00,-3.30,+1.000,-0.261,+0.091,30.0
1785506308.7253,2026-07-31T09:58:28.725,0.994,0.4180,0.5000,-0.0820,22.40,20.00,-2.40,+1.000,-0.277,+0.076,30.0
1785506308.8245,2026-07-31T09:58:28.824,1.094,0.4170,0.5000,-0.0830,21.93,20.00,-1.93,+1.000,-0.282,+0.000,30.0
1785506308.9234,2026-07-31T09:58:28.923,1.192,0.4009,0.5000,-0.0991,21.20,20.00,-1.20,+1.000,-0.318,+0.000,30.0
1785506309.0222,2026-07-31T09:58:29.022,1.291,0.3946,0.5000,-0.1054,20.96,20.00,-0.96,+1.000,-0.334,+0.000,30.0
1785506309.1222,2026-07-31T09:58:29.122,1.391,0.3912,0.5000,-0.1088,20.90,20.00,-0.90,+1.000,-0.346,+0.000,30.0
1785506309.2215,2026-07-31T09:58:29.221,1.491,0.3834,0.5000,-0.1166,20.91,20.00,-0.91,+1.000,-0.366,+0.000,30.0
