t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785505364.7358,2026-07-31T09:42:44.735,0.049,1,,,,0,,,,,,,,0,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505364.8356,2026-07-31T09:42:44.835,0.149,2,,,,0,,,,0.0297,2.95,0.0297,2.95,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505364.9354,2026-07-31T09:42:44.935,0.249,3,,,,0,,,,0.0287,2.97,0.0287,2.97,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.0363,2026-07-31T09:42:45.036,0.349,4,,,,0,,,,0.0326,2.98,0.0326,2.98,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.1359,2026-07-31T09:42:45.135,0.449,5,,,,0,,,,0.0298,3.00,0.0298,3.00,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.2352,2026-07-31T09:42:45.235,0.548,6,,,,0,,,,0.0346,3.01,0.0346,3.01,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.3351,2026-07-31T09:42:45.335,0.648,7,,,,0,,,,0.0296,3.02,0.0296,3.02,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.4337,2026-07-31T09:42:45.433,0.747,8,,,,0,,,,0.0255,3.01,0.0255,3.01,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.5330,2026-07-31T09:42:45.532,0.846,9,,,,0,,,,0.0294,3.00,0.0294,3.00,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.6325,2026-07-31T09:42:45.632,0.946,10,,,,0,,,,0.0282,3.00,0.0282,3.00,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.7330,2026-07-31T09:42:45.732,1.046,11,,,,0,,,,0.0310,3.01,0.0310,3.01,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.8345,2026-07-31T09:42:45.834,1.148,12,,,,0,,,,0.0269,3.01,0.0269,3.01,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505365.9336,2026-07-31T09:42:45.933,1.247,13,,,,0,,,,0.0282,3.00,0.0282,3.00,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.0338,2026-07-31T09:42:46.033,1.347,14,,,,0,,,,0.0311,2.99,0.0311,2.99,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.1337,2026-07-31T09:42:46.133,1.447,15,,,,0,,,,0.0338,2.95,0.0338,2.95,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.2343,2026-07-31T09:42:46.234,1.547,16,,,,0,,,,0.0302,2.93,0.0302,2.93,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.3345,2026-07-31T09:42:46.334,1.648,17,,,,0,,,,0.0324,2.91,0.0324,2.91,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.4336,2026-07-31T09:42:46.433,1.747,18,,,,0,,,,0.0312,2.90,0.0312,2.90,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.5335,2026-07-31T09:42:46.533,1.847,19,,,,0,,,,0.0303,2.90,0.0303,2.90,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.6322,2026-07-31T09:42:46.632,1.945,20,,,,0,,,,0.0325,2.86,0.0325,2.86,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.7313,2026-07-31T09:42:46.731,2.044,21,,,,0,,,,0.0312,2.83,0.0312,2.83,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.8313,2026-07-31T09:42:46.831,2.144,22,,,,0,,,,0.0272,2.79,0.0272,2.79,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505366.9299,2026-07-31T09:42:46.929,2.243,23,,,,0,,,,0.0332,2.75,0.0332,2.75,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.0308,2026-07-31T09:42:47.030,2.344,24,,,,0,,,,0.0293,2.74,0.0293,2.74,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.1301,2026-07-31T09:42:47.130,2.443,25,,,,0,,,,0.0265,2.75,0.0265,2.75,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.2308,2026-07-31T09:42:47.230,2.544,26,,,,0,,,,0.0285,2.76,0.0285,2.76,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.3299,2026-07-31T09:42:47.329,2.643,27,,,,0,,,,0.0304,2.74,0.0304,2.74,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.4296,2026-07-31T09:42:47.429,2.743,28,,,,0,,,,0.0259,2.69,0.0259,2.69,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.5289,2026-07-31T09:42:47.528,2.842,29,,,,0,,,,0.0267,2.66,0.0267,2.66,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.6286,2026-07-31T09:42:47.628,2.942,30,,,,0,,,,0.0284,2.64,0.0284,2.64,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.7282,2026-07-31T09:42:47.728,3.041,31,,,,0,,,,0.0317,2.64,0.0317,2.64,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.8273,2026-07-31T09:42:47.827,3.140,32,,,,0,,,,0.0279,2.62,0.0279,2.62,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505367.9278,2026-07-31T09:42:47.927,3.241,33,,,,0,,,,0.0297,2.60,0.0297,2.60,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.0274,2026-07-31T09:42:48.027,3.340,34,,,,0,,,,0.0282,2.59,0.0282,2.59,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.1268,2026-07-31T09:42:48.126,3.440,35,,,,0,,,,0.0299,2.55,0.0299,2.55,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.2257,2026-07-31T09:42:48.225,3.539,36,,,,0,,,,0.0286,2.53,0.0286,2.53,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.3243,2026-07-31T09:42:48.324,3.637,37,,,,0,,,,0.0276,2.51,0.0276,2.51,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.4240,2026-07-31T09:42:48.423,3.737,38,,,,0,,,,0.0306,2.50,0.0306,2.50,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.5245,2026-07-31T09:42:48.524,3.838,39,,,,0,,,,0.0278,2.47,0.0278,2.47,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.6230,2026-07-31T09:42:48.622,3.936,40,,,,0,,,,0.0269,2.46,0.0269,2.46,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.7220,2026-07-31T09:42:48.722,4.035,41,,,,0,,,,0.0238,2.44,0.0238,2.44,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.8217,2026-07-31T09:42:48.821,4.135,42,,,,0,,,,0.0243,2.41,0.0243,2.41,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505368.9205,2026-07-31T09:42:48.920,4.234,43,,,,0,,,,0.0264,2.39,0.0264,2.39,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505369.0219,2026-07-31T09:42:49.021,4.335,44,,,,0,,,,0.0235,2.37,0.0235,2.37,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505369.1208,2026-07-31T09:42:49.120,4.434,45,,,,0,,,,0.0276,2.34,0.0276,2.34,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505369.2198,2026-07-31T09:42:49.219,4.533,46,,,,0,,,,0.0231,2.32,0.0231,2.32,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505369.3188,2026-07-31T09:42:49.318,4.632,47,,,,0,,,,0.0251,2.28,0.0251,2.28,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505369.4177,2026-07-31T09:42:49.417,4.731,48,,,,0,,,,0.0252,2.27,0.0252,2.27,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785505369.5169,2026-07-31T09:42:49.516,4.830,49,,,,0,,,,0.0312,2.26,0.0312,2.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
