t_epoch,iso_time,t_elapsed_s,depth_m,depth_target_m,depth_err_m,yaw_deg,yaw_target_deg,yaw_err_deg,surge_cmd,heave_cmd,yaw_cmd,throttle_pct
1785505203.6106,2026-07-31T09:40:03.610,0.000,0.5118,0.5000,+0.0118,1.10,0.00,-1.10,+1.000,-0.332,+0.000,30.0
1785505203.7099,2026-07-31T09:40:03.709,0.099,0.5148,0.5000,+0.0148,1.10,0.00,-1.10,+1.000,-0.326,+0.000,30.0
1785505203.8093,2026-07-31T09:40:03.809,0.199,0.5198,0.5000,+0.0198,1.10,0.00,-1.10,+1.000,-0.316,+0.000,30.0
1785505203.9081,2026-07-31T09:40:03.908,0.298,0.5126,0.5000,+0.0126,1.02,0.00,-1.02,+1.000,-0.330,+0.000,30.0
1785505204.0075,2026-07-31T09:40:04.007,0.397,0.5172,0.5000,+0.0172,0.63,0.00,-0.63,+1.000,-0.321,+0.000,30.0
1785505204.1068,2026-07-31T09:40:04.106,0.496,0.5221,0.5000,+0.0221,0.03,0.00,-0.03,+1.000,-0.310,+0.000,30.0
1785505204.2058,2026-07-31T09:40:04.205,0.595,0.5056,0.5000,+0.0056,-0.24,0.00,+0.24,+1.000,-0.343,+0.000,30.0
1785505204.3064,2026-07-31T09:40:04.306,0.696,0.5146,0.5000,+0.0146,-0.31,0.00,+0.31,+1.000,-0.325,+0.000,30.0
1785505204.4053,2026-07-31T09:40:04.405,0.795,0.5234,0.5000,+0.0234,-0.31,0.00,+0.31,+1.000,-0.306,+0.000,30.0
1785505204.5048,2026-07-31T09:40:04.504,0.894,0.5318,0.5000,+0.0318,-0.29,0.00,+0.29,+1.000,-0.288,+0.000,30.0
1785505204.6037,2026-07-31T09:40:04.603,0.993,0.5259,0.5000,+0.0259,-0.27,0.00,+0.27,+1.000,-0.299,+0.000,30.0
1785505204.7027,2026-07-31T09:40:04.702,1.092,0.5218,0.5000,+0.0218,-0.26,0.00,+0.26,+1.000,-0.306,+0.000,30.0
1785505204.8029,2026-07-31T09:40:04.802,1.192,0.5115,0.5000,+0.0115,-0.23,0.00,+0.23,+1.000,-0.327,+0.000,30.0
1785505204.9027,2026-07-31T09:40:04.902,1.292,0.4925,0.5000,-0.0075,-0.05,0.00,+0.05,+1.000,-0.364,+0.000,30.0
1785505205.0021,2026-07-31T09:40:05.002,1.392,0.4911,0.5000,-0.0089,0.10,0.00,-0.10,+1.000,-0.367,+0.000,30.0
1785505205.1008,2026-07-31T09:40:05.100,1.490,0.4776,0.5000,-0.0224,0.45,0.00,-0.45,+1.000,-0.395,+0.000,30.0
1785505205.2005,2026-07-31T09:40:05.200,1.590,0.4626,0.5000,-0.0374,0.89,0.00,-0.89,+1.000,-0.426,+0.000,30.0
1785505205.2994,2026-07-31T09:40:05.299,1.689,0.4628,0.5000,-0.0372,1.16,0.00,-1.16,+1.000,-0.427,+0.000,30.0
1785505205.3988,2026-07-31T09:40:05.398,1.788,0.4562,0.5000,-0.0438,1.73,0.00,-1.73,+1.000,-0.442,+0.000,30.0
1785505205.4982,2026-07-31T09:40:05.498,1.888,0.4592,0.5000,-0.0408,2.03,0.00,-2.03,+1.000,-0.437,+0.037,30.0
1785505205.5971,2026-07-31T09:40:05.597,1.987,0.4457,0.5000,-0.0543,2.56,0.00,-2.56,+1.000,-0.467,+0.048,30.0
1785505205.6963,2026-07-31T09:40:05.696,2.086,0.4484,0.5000,-0.0516,2.76,0.00,-2.76,+1.000,-0.463,+0.052,30.0
1785505205.7948,2026-07-31T09:40:05.794,2.184,0.4461,0.5000,-0.0539,2.96,0.00,-2.96,+1.000,-0.470,+0.057,30.0
