t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785506458.2438,2026-07-31T10:00:58.243,0.048,1,,,,0,,,,,,,,0,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506458.3427,2026-07-31T10:00:58.342,0.146,2,,,,0,,,,-0.0572,95.84,-0.0572,-264.16,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506458.4444,2026-07-31T10:00:58.444,0.248,3,,,,0,,,,-0.0515,96.04,-0.0515,-263.96,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506458.5436,2026-07-31T10:00:58.543,0.347,4,,,,0,,,,-0.0563,96.15,-0.0563,-263.85,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506458.6435,2026-07-31T10:00:58.643,0.447,5,,,,0,,,,-0.0575,96.42,-0.0575,-263.58,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506458.7418,2026-07-31T10:00:58.741,0.546,6,,,,0,,,,-0.0557,96.74,-0.0557,-263.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506458.8417,2026-07-31T10:00:58.841,0.645,7,,,,0,,,,-0.0567,96.91,-0.0567,-263.09,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506458.9413,2026-07-31T10:00:58.941,0.745,8,,,,0,,,,-0.0579,97.20,-0.0579,-262.80,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.0408,2026-07-31T10:00:59.040,0.845,9,,,,0,,,,-0.0572,97.32,-0.0572,-262.68,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.1413,2026-07-31T10:00:59.141,0.945,10,,,,0,,,,-0.0567,97.55,-0.0567,-262.45,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.2401,2026-07-31T10:00:59.240,1.044,11,,,,0,,,,-0.0554,97.66,-0.0554,-262.34,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.3388,2026-07-31T10:00:59.338,1.143,12,,,,0,,,,-0.0552,97.85,-0.0552,-262.15,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.4393,2026-07-31T10:00:59.439,1.243,13,,,,0,,,,-0.0565,97.93,-0.0565,-262.07,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.5390,2026-07-31T10:00:59.538,1.343,14,,,,0,,,,-0.0562,98.13,-0.0562,-261.87,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.6387,2026-07-31T10:00:59.638,1.442,15,,,,0,,,,-0.0535,98.37,-0.0535,-261.63,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.7393,2026-07-31T10:00:59.739,1.543,16,,,,0,,,,-0.0534,98.50,-0.0534,-261.50,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.8386,2026-07-31T10:00:59.838,1.642,17,,,,0,,,,-0.0575,98.76,-0.0575,-261.24,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506459.9372,2026-07-31T10:00:59.937,1.741,18,,,,0,,,,-0.0562,99.03,-0.0562,-260.97,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.0360,2026-07-31T10:01:00.036,1.840,19,,,,0,,,,-0.0599,99.16,-0.0599,-260.84,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.1363,2026-07-31T10:01:00.136,1.940,20,,,,0,,,,-0.0546,99.38,-0.0546,-260.62,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.2348,2026-07-31T10:01:00.234,2.038,21,,,,0,,,,-0.0543,99.48,-0.0543,-260.52,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.3345,2026-07-31T10:01:00.334,2.138,22,,,,0,,,,-0.0560,99.65,-0.0560,-260.35,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.4336,2026-07-31T10:01:00.433,2.237,23,,,,0,,,,-0.0508,99.81,-0.0508,-260.19,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.5325,2026-07-31T10:01:00.532,2.336,24,,,,0,,,,-0.0542,99.90,-0.0542,-260.10,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.6310,2026-07-31T10:01:00.630,2.435,25,,,,0,,,,-0.0508,100.08,-0.0508,-259.92,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.7306,2026-07-31T10:01:00.730,2.534,26,,,,0,,,,-0.0544,100.16,-0.0544,-259.84,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.8290,2026-07-31T10:01:00.828,2.633,27,,,,0,,,,-0.0570,100.31,-0.0570,-259.69,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506460.9294,2026-07-31T10:01:00.929,2.733,28,,,,0,,,,-0.0548,100.38,-0.0548,-259.62,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506461.0279,2026-07-31T10:01:01.027,2.832,29,,,,0,,,,-0.0533,100.57,-0.0533,-259.43,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506461.1273,2026-07-31T10:01:01.127,2.931,30,,,,0,,,,-0.0537,100.77,-0.0537,-259.23,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506461.2268,2026-07-31T10:01:01.226,3.030,31,,,,0,,,,-0.0535,100.87,-0.0535,-259.13,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506461.3284,2026-07-31T10:01:01.328,3.132,32,,,,0,,,,-0.0510,101.02,-0.0510,-258.98,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785506461.4287,2026-07-31T10:01:01.428,3.232,33,,,,0,,,,-0.0526,101.17,-0.0526,-258.83,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506461.5273,2026-07-31T10:01:01.527,3.331,34,,,,0,,,,-0.0546,101.26,-0.0546,-258.74,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506461.6264,2026-07-31T10:01:01.626,3.430,35,,,,0,,,,-0.0539,101.46,-0.0539,-258.54,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506461.7253,2026-07-31T10:01:01.725,3.529,36,,,,0,,,,-0.0506,101.53,-0.0506,-258.47,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506461.8257,2026-07-31T10:01:01.825,3.629,37,,,,0,,,,-0.0546,101.64,-0.0546,-258.36,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506461.9252,2026-07-31T10:01:01.925,3.729,38,,,,0,,,,-0.0513,101.68,-0.0513,-258.32,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.0240,2026-07-31T10:01:02.023,3.828,39,,,,0,,,,-0.0435,101.75,-0.0435,-258.25,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.1233,2026-07-31T10:01:02.123,3.927,40,,,,0,,,,-0.0376,101.80,-0.0376,-258.20,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.2223,2026-07-31T10:01:02.222,4.026,41,,,,0,,,,-0.0394,101.82,-0.0394,-258.18,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.3211,2026-07-31T10:01:02.321,4.125,42,,,,0,,,,-0.0341,101.87,-0.0341,-258.13,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.4200,2026-07-31T10:01:02.420,4.224,43,,,,0,,,,-0.0305,101.89,-0.0305,-258.11,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.5192,2026-07-31T10:01:02.519,4.323,44,,,,0,,,,-0.0310,101.91,-0.0310,-258.09,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.6186,2026-07-31T10:01:02.618,4.422,45,,,,0,,,,-0.0226,101.90,-0.0226,-258.10,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.7174,2026-07-31T10:01:02.717,4.521,46,,,,0,,,,-0.0246,101.88,-0.0246,-258.12,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.8160,2026-07-31T10:01:02.815,4.620,47,,,,0,,,,-0.0194,101.88,-0.0194,-258.12,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506462.9161,2026-07-31T10:01:02.916,4.720,48,,,,0,,,,-0.0212,101.90,-0.0212,-258.10,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.0155,2026-07-31T10:01:03.015,4.819,49,,,,0,,,,-0.0148,101.96,-0.0148,-258.04,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506463.1143,2026-07-31T10:01:03.114,4.918,50,,,,0,,,,-0.0142,102.00,-0.0142,-258.00,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.2141,2026-07-31T10:01:03.214,5.018,51,,,,0,,,,-0.0084,102.10,-0.0084,-257.90,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.3129,2026-07-31T10:01:03.312,5.117,52,,,,0,,,,-0.0109,102.20,-0.0109,-257.80,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.4123,2026-07-31T10:01:03.412,5.216,53,,,,0,,,,-0.0084,102.24,-0.0084,-257.76,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.5123,2026-07-31T10:01:03.512,5.316,54,,,,0,,,,-0.0103,102.34,-0.0103,-257.66,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.6111,2026-07-31T10:01:03.611,5.415,55,,,,0,,,,-0.0120,102.38,-0.0120,-257.62,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.7114,2026-07-31T10:01:03.711,5.515,56,,,,0,,,,-0.0032,102.48,-0.0032,-257.52,1,30.0,joystick,+0.000,+0.000,-0.400,+1.000,1100,0,
1785506463.8108,2026-07-31T10:01:03.810,5.614,57,,,,0,,,,-0.0052,102.20,-0.0052,-257.80,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506463.9091,2026-07-31T10:01:03.909,5.713,58,,,,0,,,,-0.0020,101.90,-0.0020,-258.10,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506464.0089,2026-07-31T10:01:04.008,5.813,59,,,,0,,,,0.0019,101.48,0.0019,-258.52,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506464.1098,2026-07-31T10:01:04.109,5.913,60,,,,0,,,,0.0039,101.16,0.0039,-258.84,1,30.0,joystick,+0.000,+0.000,+1.000,+0.000,1100,0,
1785506464.2096,2026-07-31T10:01:04.209,6.013,61,,,,0,,,,0.0095,101.07,0.0095,-258.93,1,30.0,joystick,+0.000,+0.000,+1.000,+0.000,1100,0,
1785506464.3088,2026-07-31T10:01:04.308,6.113,62,,,,0,,,,-0.0036,100.91,-0.0036,-259.09,1,30.0,joystick,+0.000,+0.000,+1.000,+0.000,1100,0,
1785506464.4078,2026-07-31T10:01:04.407,6.212,63,,,,0,,,,-0.0115,100.87,-0.0115,-259.13,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506464.5063,2026-07-31T10:01:04.506,6.310,64,,,,0,,,,-0.0216,100.80,-0.0216,-259.20,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506464.6068,2026-07-31T10:01:04.606,6.411,65,,,,0,,,,-0.0220,100.78,-0.0220,-259.22,1,30.0,joystick,+0.000,+0.000,-0.400,+1.000,1100,0,
1785506464.7068,2026-07-31T10:01:04.706,6.510,66,,,,0,,,,-0.0303,100.81,-0.0303,-259.19,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506464.8055,2026-07-31T10:01:04.805,6.609,67,,,,0,,,,-0.0332,100.81,-0.0332,-259.19,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506464.9048,2026-07-31T10:01:04.904,6.708,68,,,,0,,,,-0.0294,100.72,-0.0294,-259.28,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.0032,2026-07-31T10:01:05.003,6.807,69,,,,0,,,,-0.0324,100.38,-0.0324,-259.62,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.1049,2026-07-31T10:01:05.104,6.909,70,,,,0,,,,-0.0336,99.86,-0.0336,-260.14,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.2039,2026-07-31T10:01:05.203,7.008,71,,,,0,,,,-0.0312,99.58,-0.0312,-260.42,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.3022,2026-07-31T10:01:05.302,7.106,72,,,,0,,,,-0.0312,98.99,-0.0312,-261.01,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.4020,2026-07-31T10:01:05.401,7.206,73,,,,0,,,,-0.0335,98.68,-0.0335,-261.32,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.5004,2026-07-31T10:01:05.500,7.304,74,,,,0,,,,-0.0309,98.12,-0.0309,-261.88,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.6010,2026-07-31T10:01:05.600,7.405,75,,,,0,,,,-0.0316,97.88,-0.0316,-262.12,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.7006,2026-07-31T10:01:05.700,7.504,76,,,,0,,,,-0.0311,97.51,-0.0311,-262.49,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.7996,2026-07-31T10:01:05.799,7.603,77,,,,0,,,,-0.0312,97.27,-0.0312,-262.73,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.8987,2026-07-31T10:01:05.898,7.702,78,,,,0,,,,-0.0291,97.21,-0.0291,-262.79,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506465.9988,2026-07-31T10:01:05.998,7.802,79,,,,0,,,,-0.0337,97.16,-0.0337,-262.84,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506466.0982,2026-07-31T10:01:06.098,7.902,80,,,,0,,,,-0.0309,97.15,-0.0309,-262.85,1,30.0,joystick,+0.688,+0.000,-0.400,+0.000,1100,0,
1785506466.1972,2026-07-31T10:01:06.197,8.001,81,,,,0,,,,-0.0334,97.17,-0.0334,-262.83,1,30.0,joystick,+1.000,+0.000,-0.400,+0.000,1100,0,
1785506466.2975,2026-07-31T10:01:06.297,8.101,82,,,,0,,,,-0.0274,97.31,-0.0274,-262.69,1,30.0,joystick,+1.000,+0.000,-0.400,+0.000,1100,0,
1785506466.3965,2026-07-31T10:01:06.396,8.200,83,,,,0,,,,-0.0371,97.39,-0.0371,-262.61,1,30.0,joystick,+0.000,+0.000,-0.400,+0.000,1100,0,
1785506466.4952,2026-07-31T10:01:06.495,8.299,84,,,,0,,,,-0.0518,97.64,-0.0518,-262.36,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506466.5943,2026-07-31T10:01:06.594,8.398,85,,,,0,,,,-0.0331,97.62,-0.0331,-262.38,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506466.6948,2026-07-31T10:01:06.694,8.499,86,,,,0,,,,-0.0360,97.92,-0.0360,-262.08,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506466.7939,2026-07-31T10:01:06.793,8.598,87,,,,0,,,,-0.0393,98.03,-0.0393,-261.97,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506466.8923,2026-07-31T10:01:06.892,8.696,88,,,,0,,,,-0.0340,98.16,-0.0340,-261.84,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506466.9916,2026-07-31T10:01:06.991,8.795,89,,,,0,,,,-0.0276,97.95,-0.0276,-262.05,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506467.0911,2026-07-31T10:01:07.091,8.895,90,,,,0,,,,-0.0279,97.75,-0.0279,-262.25,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506467.1916,2026-07-31T10:01:07.191,8.995,91,,,,0,,,,-0.0202,97.35,-0.0202,-262.65,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506467.2918,2026-07-31T10:01:07.291,9.096,92,,,,0,,,,-0.0195,97.20,-0.0195,-262.80,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506467.3910,2026-07-31T10:01:07.391,9.195,93,,,,0,,,,-0.0100,96.83,-0.0100,-263.17,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506467.4895,2026-07-31T10:01:07.489,9.293,94,,,,0,,,,0.0119,96.37,0.0119,-263.63,1,30.0,joystick,-1.000,+0.000,-0.400,+0.000,1100,0,
1785506467.5883,2026-07-31T10:01:07.588,9.392,95,,,,0,,,,0.0159,96.18,0.0159,-263.82,1,30.0,joystick,-1.000,+0.000,+1.000,+0.000,1100,0,
1785506467.6873,2026-07-31T10:01:07.687,9.491,96,,,,0,,,,0.0314,95.82,0.0314,-264.18,1,30.0,joystick,-1.000,+0.000,+1.000,+0.000,1100,0,
1785506467.7866,2026-07-31T10:01:07.786,9.590,97,,,,0,,,,0.0299,95.66,0.0299,-264.34,1,30.0,joystick,-1.000,+0.000,+1.000,+1.000,1100,0,
1785506467.8854,2026-07-31T10:01:07.885,9.689,98,,,,0,,,,0.0306,93.03,0.0306,-266.97,1,30.0,joystick,-1.000,+0.000,+1.000,+1.000,1100,0,
1785506467.9846,2026-07-31T10:01:07.984,9.788,99,,,,0,,,,0.0229,88.40,0.0229,-271.60,1,30.0,joystick,-1.000,+0.000,+1.000,+1.000,1100,0,
1785506468.0842,2026-07-31T10:01:08.084,9.888,100,,,,0,,,,0.0175,85.78,0.0175,-274.22,1,30.0,joystick,-1.000,+0.000,+1.000,+1.000,1100,0,
1785506468.1834,2026-07-31T10:01:08.183,9.987,101,,,,0,,,,0.0057,79.92,0.0057,-280.08,1,30.0,joystick,-1.000,+0.000,+1.000,+0.000,1100,0,
