t_epoch,iso_time,t_elapsed_s,depth_m,depth_target_m,depth_err_m,yaw_deg,yaw_target_deg,yaw_err_deg,surge_cmd,heave_cmd,yaw_cmd,throttle_pct
1785506024.5662,2026-07-31T09:53:44.566,0.000,1.0015,1.0000,+0.0015,20.40,20.00,-0.40,+1.000,-0.311,+0.000,30.0
1785506024.6652,2026-07-31T09:53:44.665,0.099,0.9980,1.0000,-0.0020,20.48,20.00,-0.48,+1.000,-0.318,+0.000,30.0
1785506024.7656,2026-07-31T09:53:44.765,0.200,1.0017,1.0000,+0.0017,20.47,20.00,-0.47,+1.000,-0.310,+0.000,30.0
1785506024.8645,2026-07-31T09:53:44.864,0.298,1.0013,1.0000,+0.0013,20.44,20.00,-0.44,+1.000,-0.311,+0.000,30.0
1785506024.9651,2026-07-31T09:53:44.965,0.399,1.0117,1.0000,+0.0117,20.17,20.00,-0.17,+1.000,-0.290,+0.000,30.0
1785506025.0637,2026-07-31T09:53:45.063,0.498,1.0004,1.0000,+0.0004,19.97,20.00,+0.03,+1.000,-0.313,+0.000,30.0
1785506025.1636,2026-07-31T09:53:45.163,0.598,0.9895,1.0000,-0.0105,19.66,20.00,+0.34,+1.000,-0.335,+0.000,30.0
1785506025.2621,2026-07-31T09:53:45.262,0.696,0.9997,1.0000,-0.0003,19.48,20.00,+0.52,+1.000,-0.314,+0.000,30.0
1785506025.3611,2026-07-31T09:53:45.361,0.795,1.0216,1.0000,+0.0216,19.19,20.00,+0.81,+1.000,-0.270,+0.000,30.0
1785506025.4605,2026-07-31T09:53:45.460,0.895,1.0081,1.0000,+0.0081,19.17,20.00,+0.83,+1.000,-0.296,+0.000,30.0
1785506025.5600,2026-07-31T09:53:45.560,0.994,1.0044,1.0000,+0.0044,19.24,20.00,+0.76,+1.000,-0.304,+0.000,30.0
1785506025.6587,2026-07-31T09:53:45.658,1.093,1.0039,1.0000,+0.0039,19.27,20.00,+0.73,+1.000,-0.305,+0.000,30.0
1785506025.7581,2026-07-31T09:53:45.758,1.192,1.0023,1.0000,+0.0023,19.36,20.00,+0.64,+1.000,-0.308,+0.000,30.0
1785506025.8567,2026-07-31T09:53:45.856,1.291,0.9821,1.0000,-0.0179,19.64,20.00,+0.36,+1.000,-0.348,+0.000,30.0
1785506025.9560,2026-07-31T09:53:45.956,1.390,0.9571,1.0000,-0.0429,20.05,20.00,-0.05,+1.000,-0.399,+0.000,30.0
1785506026.0563,2026-07-31T09:53:46.056,1.490,0.9702,1.0000,-0.0298,20.30,20.00,-0.30,+1.000,-0.374,+0.000,30.0
1785506026.1555,2026-07-31T09:53:46.155,1.589,0.9560,1.0000,-0.0440,20.84,20.00,-0.84,+1.000,-0.404,+0.000,30.0
1785506026.2537,2026-07-31T09:53:46.253,1.688,0.9429,1.0000,-0.0571,21.12,20.00,-1.12,+1.000,-0.433,+0.000,30.0
1785506026.3543,2026-07-31T09:53:46.354,1.788,0.9404,1.0000,-0.0596,21.68,20.00,-1.68,+1.000,-0.440,+0.000,30.0
1785506026.4528,2026-07-31T09:53:46.452,1.887,0.9438,1.0000,-0.0562,21.99,20.00,-1.99,+1.000,-0.436,+0.000,30.0
1785506026.5522,2026-07-31T09:53:46.552,1.986,0.9282,1.0000,-0.0718,22.57,20.00,-2.57,+1.000,-0.470,+0.047,30.0
1785506026.6515,2026-07-31T09:53:46.651,2.085,0.9353,1.0000,-0.0647,22.96,20.00,-2.96,+1.000,-0.458,+0.055,30.0
1785506026.7497,2026-07-31T09:53:46.749,2.184,0.9147,1.0000,-0.0853,22.98,20.00,-2.98,+1.000,-0.502,+0.057,30.0
1785506026.8496,2026-07-31T09:53:46.849,2.284,0.9286,1.0000,-0.0714,22.96,20.00,-2.96,+1.000,-0.477,+0.058,30.0
1785506026.9491,2026-07-31T09:53:46.949,2.383,0.9345,1.0000,-0.0655,22.88,20.00,-2.88,+1.000,-0.468,+0.057,30.0
1785506027.0479,2026-07-31T09:53:47.048,2.482,0.9338,1.0000,-0.0662,22.77,20.00,-2.77,+1.000,-0.472,+0.057,30.0
1785506027.1470,2026-07-31T09:53:47.147,2.581,0.9293,1.0000,-0.0707,22.47,20.00,-2.47,+1.000,-0.484,+0.052,30.0
1785506027.2460,2026-07-31T09:53:47.246,2.680,0.9409,1.0000,-0.0591,22.32,20.00,-2.32,+1.000,-0.463,+0.050,30.0
1785506027.3447,2026-07-31T09:53:47.344,2.779,0.9360,1.0000,-0.0640,21.87,20.00,-1.87,+1.000,-0.476,+0.000,30.0
1785506027.4442,2026-07-31T09:53:47.444,2.878,0.9608,1.0000,-0.0392,21.62,20.00,-1.62,+1.000,-0.428,+0.000,30.0
1785506027.5431,2026-07-31T09:53:47.543,2.977,0.9692,1.0000,-0.0308,21.34,20.00,-1.34,+1.000,-0.413,+0.000,30.0
1785506027.6421,2026-07-31T09:53:47.642,3.076,0.9589,1.0000,-0.0411,21.22,20.00,-1.22,+1.000,-0.435,+0.000,30.0
1785506027.7416,2026-07-31T09:53:47.741,3.176,0.9760,1.0000,-0.0240,21.21,20.00,-1.21,+1.000,-0.402,+0.000,30.0
1785506027.8416,2026-07-31T09:53:47.841,3.276,0.9885,1.0000,-0.0115,21.31,20.00,-1.31,+1.000,-0.377,+0.000,30.0
1785506027.9414,2026-07-31T09:53:47.941,3.375,0.9954,1.0000,-0.0046,21.42,20.00,-1.42,+1.000,-0.363,+0.000,30.0
1785506028.0399,2026-07-31T09:53:48.040,3.474,1.0140,1.0000,+0.0140,21.64,20.00,-1.64,+1.000,-0.326,+0.000,30.0
1785506028.1394,2026-07-31T09:53:48.139,3.573,1.0237,1.0000,+0.0237,21.89,20.00,-1.89,+1.000,-0.306,+0.000,30.0
1785506028.2377,2026-07-31T09:53:48.237,3.672,1.0386,1.0000,+0.0386,21.98,20.00,-1.98,+1.000,-0.275,+0.000,30.0
1785506028.3375,2026-07-31T09:53:48.337,3.771,1.0411,1.0000,+0.0411,22.13,20.00,-2.13,+1.000,-0.268,+0.039,30.0
1785506028.4371,2026-07-31T09:53:48.437,3.871,1.0431,1.0000,+0.0431,22.15,20.00,-2.15,+1.000,-0.263,+0.040,30.0
1785506028.5360,2026-07-31T09:53:48.536,3.970,1.0566,1.0000,+0.0566,21.98,20.00,-1.98,+1.000,-0.234,+0.000,30.0
1785506028.6356,2026-07-31T09:53:48.635,4.070,1.0553,1.0000,+0.0553,21.74,20.00,-1.74,+1.000,-0.234,+0.000,30.0
1785506028.7347,2026-07-31T09:53:48.734,4.169,1.0627,1.0000,+0.0627,21.57,20.00,-1.57,+1.000,-0.217,+0.000,30.0
1785506028.8342,2026-07-31T09:53:48.834,4.268,1.0723,1.0000,+0.0723,21.29,20.00,-1.29,+1.000,-0.195,+0.000,30.0
1785506028.9334,2026-07-31T09:53:48.933,4.367,1.0612,1.0000,+0.0612,21.07,20.00,-1.07,+1.000,-0.215,+0.000,30.0
1785506029.0336,2026-07-31T09:53:49.033,4.468,1.0742,1.0000,+0.0742,20.63,20.00,-0.63,+1.000,-0.186,+0.000,30.0
1785506029.1326,2026-07-31T09:53:49.132,4.567,1.0823,1.0000,+0.0823,20.23,20.00,-0.23,+1.000,-0.167,+0.000,30.0
1785506029.2319,2026-07-31T09:53:49.232,4.666,1.0801,1.0000,+0.0801,20.07,20.00,-0.07,+1.000,-0.168,+0.000,30.0
1785506029.3307,2026-07-31T09:53:49.330,4.765,1.0834,1.0000,+0.0834,19.75,20.00,+0.25,+1.000,-0.158,+0.000,30.0
1785506029.4304,2026-07-31T09:53:49.430,4.864,1.0793,1.0000,+0.0793,19.60,20.00,+0.40,+1.000,-0.163,+0.000,30.0
1785506029.5301,2026-07-31T09:53:49.530,4.964,1.0855,1.0000,+0.0855,19.40,20.00,+0.60,+1.000,-0.148,+0.000,30.0
1785506029.6297,2026-07-31T09:53:49.629,5.064,1.0745,1.0000,+0.0745,19.35,20.00,+0.65,+1.000,-0.166,+0.000,30.0
1785506029.7287,2026-07-31T09:53:49.728,5.163,1.0686,1.0000,+0.0686,19.28,20.00,+0.72,+1.000,-0.176,+0.000,30.0
1785506029.8304,2026-07-31T09:53:49.830,5.264,1.0476,1.0000,+0.0476,19.38,20.00,+0.62,+1.000,-0.215,+0.000,30.0
1785506029.9293,2026-07-31T09:53:49.929,5.363,1.0506,1.0000,+0.0506,19.48,20.00,+0.52,+1.000,-0.207,+0.000,30.0
