t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785509099.6248,2026-07-31T10:44:59.624,0.059,1,,,,0,,,,,,,,0,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509099.7235,2026-07-31T10:44:59.723,0.158,2,,,,0,,,,-0.1481,112.46,-0.1481,-607.54,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509099.8240,2026-07-31T10:44:59.823,0.258,3,,,,0,,,,-0.1508,112.45,-0.1508,-607.55,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509099.9243,2026-07-31T10:44:59.924,0.359,4,,,,0,,,,-0.1489,112.42,-0.1489,-607.58,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.0234,2026-07-31T10:45:00.023,0.458,5,,,,0,,,,-0.1512,112.38,-0.1512,-607.62,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.1226,2026-07-31T10:45:00.122,0.557,6,,,,0,,,,-0.1495,112.38,-0.1495,-607.62,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.2223,2026-07-31T10:45:00.222,0.657,7,,,,0,,,,-0.1492,112.37,-0.1492,-607.63,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.3225,2026-07-31T10:45:00.322,0.757,8,,,,0,,,,-0.1492,112.33,-0.1492,-607.67,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.4207,2026-07-31T10:45:00.420,0.855,9,,,,0,,,,-0.1446,112.33,-0.1446,-607.67,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.5203,2026-07-31T10:45:00.520,0.955,10,,,,0,,,,-0.1453,112.34,-0.1453,-607.66,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.6202,2026-07-31T10:45:00.620,1.055,11,,,,0,,,,-0.1498,112.30,-0.1498,-607.70,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.7193,2026-07-31T10:45:00.719,1.154,12,,,,0,,,,-0.1500,112.31,-0.1500,-607.69,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.8182,2026-07-31T10:45:00.818,1.253,13,,,,0,,,,-0.1510,112.26,-0.1510,-607.74,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509100.9179,2026-07-31T10:45:00.917,1.352,14,,,,0,,,,-0.1525,112.25,-0.1525,-607.75,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509101.0172,2026-07-31T10:45:01.017,1.452,15,,,,0,,,,-0.1503,112.26,-0.1503,-607.74,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509101.1157,2026-07-31T10:45:01.115,1.550,16,,,,0,,,,-0.1491,112.21,-0.1491,-607.79,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509101.2153,2026-07-31T10:45:01.215,1.650,17,,,,0,,,,-0.1504,112.20,-0.1504,-607.80,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509101.3150,2026-07-31T10:45:01.315,1.749,18,,,,0,,,,-0.1523,112.19,-0.1523,-607.81,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509101.4138,2026-07-31T10:45:01.413,1.848,19,,,,0,,,,-0.1442,112.17,-0.1442,-607.83,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509101.5118,2026-07-31T10:45:01.511,1.946,20,,,,0,,,,-0.1488,112.12,-0.1488,-607.88,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
