t_epoch,iso_time,t_elapsed_s,depth_m,depth_target_m,depth_err_m,yaw_deg,yaw_target_deg,yaw_err_deg,surge_cmd,heave_cmd,yaw_cmd,throttle_pct
1785506612.0516,2026-07-31T10:03:32.051,0.000,0.9840,1.0000,-0.0160,-6.78,0.00,+6.78,+1.000,-0.357,-0.230,30.0
1785506612.1506,2026-07-31T10:03:32.150,0.099,0.9920,1.0000,-0.0080,-6.44,0.00,+6.44,+1.000,-0.341,-0.226,30.0
1785506612.2502,2026-07-31T10:03:32.250,0.199,0.9934,1.0000,-0.0066,-4.86,0.00,+4.86,+1.000,-0.338,-0.200,30.0
1785506612.3483,2026-07-31T10:03:32.348,0.297,0.9825,1.0000,-0.0175,0.65,0.00,-0.65,+1.000,-0.360,+0.000,30.0
1785506612.4474,2026-07-31T10:03:32.447,0.396,0.9871,1.0000,-0.0129,2.50,0.00,-2.50,+1.000,-0.351,+0.046,30.0
1785506612.5490,2026-07-31T10:03:32.549,0.497,0.9930,1.0000,-0.0070,4.31,0.00,-4.31,+1.000,-0.339,+0.080,30.0
1785506612.6478,2026-07-31T10:03:32.647,0.596,0.9951,1.0000,-0.0049,4.71,0.00,-4.71,+1.000,-0.335,+0.089,30.0
1785506612.7482,2026-07-31T10:03:32.748,0.697,0.9914,1.0000,-0.0086,5.11,0.00,-5.11,+1.000,-0.342,+0.098,30.0
1785506612.8479,2026-07-31T10:03:32.847,0.796,0.9966,1.0000,-0.0034,5.09,0.00,-5.09,+1.000,-0.331,+0.100,30.0
1785506612.9473,2026-07-31T10:03:32.947,0.896,0.9956,1.0000,-0.0044,4.92,0.00,-4.92,+1.000,-0.333,+0.099,30.0
1785506613.0473,2026-07-31T10:03:33.047,0.996,0.9999,1.0000,-0.0001,4.20,0.00,-4.20,+1.000,-0.325,+0.087,30.0
1785506613.1477,2026-07-31T10:03:33.147,1.096,0.9751,1.0000,-0.0249,3.01,0.00,-3.01,+1.000,-0.375,+0.068,30.0
1785506613.2464,2026-07-31T10:03:33.246,1.195,0.9773,1.0000,-0.0227,2.35,0.00,-2.35,+1.000,-0.372,+0.057,30.0
1785506613.3472,2026-07-31T10:03:33.347,1.296,0.9676,1.0000,-0.0324,1.06,0.00,-1.06,+1.000,-0.392,+0.000,30.0
