t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785512603.6752,2026-07-31T11:43:23.675,0.047,1,,,,0,,,,,,,,0,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512603.7747,2026-07-31T11:43:23.774,0.146,2,,,,0,,,,-0.0962,-40.10,-0.0962,-2920.10,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512603.8732,2026-07-31T11:43:23.873,0.245,3,,,,0,,,,-0.1038,-40.44,-0.1038,-2920.44,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512603.9726,2026-07-31T11:43:23.972,0.344,4,,,,0,,,,-0.1013,-41.12,-0.1013,-2921.12,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.0714,2026-07-31T11:43:24.071,0.443,5,,,,0,,,,-0.0985,-41.78,-0.0985,-2921.78,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.1719,2026-07-31T11:43:24.171,0.544,6,,,,0,,,,-0.1005,-42.14,-0.1005,-2922.14,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.2719,2026-07-31T11:43:24.271,0.644,7,,,,0,,,,-0.0997,-42.85,-0.0997,-2922.85,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.3704,2026-07-31T11:43:24.370,0.742,8,,,,0,,,,-0.0995,-43.19,-0.0995,-2923.19,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.4694,2026-07-31T11:43:24.469,0.841,9,,,,0,,,,-0.1018,-43.82,-0.1018,-2923.82,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.5683,2026-07-31T11:43:24.568,0.940,10,,,,0,,,,-0.1031,-44.37,-0.1031,-2924.37,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.6677,2026-07-31T11:43:24.667,1.039,11,,,,0,,,,-0.1045,-44.67,-0.1045,-2924.67,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.7662,2026-07-31T11:43:24.766,1.138,12,,,,0,,,,-0.0991,-45.35,-0.0991,-2925.35,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.8655,2026-07-31T11:43:24.865,1.237,13,,,,0,,,,-0.1035,-45.75,-0.1035,-2925.75,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512604.9641,2026-07-31T11:43:24.964,1.336,14,,,,0,,,,-0.1051,-46.67,-0.1051,-2926.67,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.0632,2026-07-31T11:43:25.063,1.435,15,,,,0,,,,-0.1006,-47.65,-0.1006,-2927.65,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.1630,2026-07-31T11:43:25.163,1.535,16,,,,0,,,,-0.0989,-47.42,-0.0989,-2927.42,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.2624,2026-07-31T11:43:25.262,1.634,17,,,,0,,,,-0.0963,-46.27,-0.0963,-2926.27,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.3625,2026-07-31T11:43:25.362,1.734,18,,,,0,,,,-0.0960,-45.76,-0.0960,-2925.76,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.4620,2026-07-31T11:43:25.461,1.834,19,,,,0,,,,-0.0948,-44.74,-0.0948,-2924.74,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.5618,2026-07-31T11:43:25.561,1.933,20,,,,0,,,,-0.0954,-43.75,-0.0954,-2923.75,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.6608,2026-07-31T11:43:25.660,2.033,21,,,,0,,,,-0.0940,-43.34,-0.0940,-2923.34,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.7594,2026-07-31T11:43:25.759,2.131,22,,,,0,,,,-0.0987,-42.76,-0.0987,-2922.76,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.8583,2026-07-31T11:43:25.858,2.230,23,,,,0,,,,-0.0985,-42.55,-0.0985,-2922.55,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512605.9586,2026-07-31T11:43:25.958,2.330,24,,,,0,,,,-0.0974,-42.23,-0.0974,-2922.23,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.0585,2026-07-31T11:43:26.058,2.430,25,,,,0,,,,-0.0949,-41.83,-0.0949,-2921.83,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.1582,2026-07-31T11:43:26.158,2.530,26,,,,0,,,,-0.0944,-41.64,-0.0944,-2921.64,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.2579,2026-07-31T11:43:26.257,2.630,27,,,,0,,,,-0.0978,-41.49,-0.0978,-2921.49,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.3569,2026-07-31T11:43:26.356,2.729,28,,,,0,,,,-0.0987,-41.39,-0.0987,-2921.39,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.4541,2026-07-31T11:43:26.454,2.826,29,,,,0,,,,-0.0909,-41.26,-0.0909,-2921.26,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.5538,2026-07-31T11:43:26.553,2.926,30,,,,0,,,,-0.0951,-41.24,-0.0951,-2921.24,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.6529,2026-07-31T11:43:26.652,3.025,31,,,,0,,,,-0.1013,-41.02,-0.1013,-2921.02,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.7526,2026-07-31T11:43:26.752,3.124,32,,,,0,,,,-0.1095,-40.30,-0.1095,-2920.30,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.8520,2026-07-31T11:43:26.852,3.224,33,,,,0,,,,-0.1160,-39.76,-0.1160,-2919.76,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512606.9514,2026-07-31T11:43:26.951,3.323,34,,,,0,,,,-0.1219,-38.51,-0.1219,-2918.51,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.0502,2026-07-31T11:43:27.050,3.422,35,,,,0,,,,-0.1252,-37.85,-0.1252,-2917.85,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.1498,2026-07-31T11:43:27.149,3.521,36,,,,0,,,,-0.1232,-36.71,-0.1232,-2916.71,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.2482,2026-07-31T11:43:27.248,3.620,37,,,,0,,,,-0.1185,-35.62,-0.1185,-2915.62,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.3478,2026-07-31T11:43:27.347,3.720,38,,,,0,,,,-0.1086,-35.12,-0.1086,-2915.12,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.4465,2026-07-31T11:43:27.446,3.818,39,,,,0,,,,-0.1070,-34.23,-0.1070,-2914.23,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.5456,2026-07-31T11:43:27.545,3.917,40,,,,0,,,,-0.1080,-33.82,-0.1080,-2913.82,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.6445,2026-07-31T11:43:27.644,4.016,41,,,,0,,,,-0.1044,-32.94,-0.1044,-2912.94,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.7437,2026-07-31T11:43:27.743,4.115,42,,,,0,,,,-0.1020,-32.52,-0.1020,-2912.52,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.8431,2026-07-31T11:43:27.843,4.215,43,,,,0,,,,-0.0957,-31.83,-0.0957,-2911.83,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512607.9424,2026-07-31T11:43:27.942,4.314,44,,,,0,,,,-0.0954,-31.27,-0.0954,-2911.27,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.0413,2026-07-31T11:43:28.041,4.413,45,,,,0,,,,-0.0955,-30.99,-0.0955,-2910.99,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.1415,2026-07-31T11:43:28.141,4.513,46,,,,0,,,,-0.0948,-30.50,-0.0948,-2910.50,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.2412,2026-07-31T11:43:28.241,4.613,47,,,,0,,,,-0.0951,-30.29,-0.0951,-2910.29,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.3417,2026-07-31T11:43:28.341,4.713,48,,,,0,,,,-0.0931,-29.78,-0.0931,-2909.78,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.4402,2026-07-31T11:43:28.440,4.812,49,,,,0,,,,-0.0887,-28.62,-0.0887,-2908.62,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.5410,2026-07-31T11:43:28.541,4.913,50,,,,0,,,,-0.0916,-27.82,-0.0916,-2907.82,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.6400,2026-07-31T11:43:28.640,5.012,51,,,,0,,,,-0.0835,-25.97,-0.0835,-2905.97,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.7385,2026-07-31T11:43:28.738,5.110,52,,,,0,,,,-0.0863,-25.01,-0.0863,-2905.01,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.8378,2026-07-31T11:43:28.837,5.209,53,,,,0,,,,-0.0901,-23.10,-0.0901,-2903.10,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512608.9369,2026-07-31T11:43:28.936,5.309,54,,,,0,,,,-0.0878,-21.35,-0.0878,-2901.35,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.0368,2026-07-31T11:43:29.036,5.408,55,,,,0,,,,-0.0877,-20.60,-0.0877,-2900.60,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.1377,2026-07-31T11:43:29.137,5.509,56,,,,0,,,,-0.0925,-19.39,-0.0925,-2899.39,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.2371,2026-07-31T11:43:29.237,5.609,57,,,,0,,,,-0.0897,-18.89,-0.0897,-2898.89,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.3353,2026-07-31T11:43:29.335,5.707,58,,,,0,,,,-0.0909,-18.06,-0.0909,-2898.06,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.4355,2026-07-31T11:43:29.435,5.807,59,,,,0,,,,-0.0913,-17.42,-0.0913,-2897.42,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.5351,2026-07-31T11:43:29.535,5.907,60,,,,0,,,,-0.0974,-17.17,-0.0974,-2897.17,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.6336,2026-07-31T11:43:29.633,6.005,61,,,,0,,,,-0.0966,-16.70,-0.0966,-2896.70,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.7341,2026-07-31T11:43:29.734,6.106,62,,,,0,,,,-0.0987,-16.50,-0.0987,-2896.50,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.8340,2026-07-31T11:43:29.833,6.206,63,,,,0,,,,-0.0947,-16.12,-0.0947,-2896.12,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512609.9326,2026-07-31T11:43:29.932,6.304,64,,,,0,,,,0.0000,-15.95,-0.0981,-2895.95,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.0331,2026-07-31T11:43:30.033,6.405,65,,,,0,,,,-0.0019,-15.44,-0.1001,-2895.44,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.1328,2026-07-31T11:43:30.132,6.504,66,,,,0,,,,0.0064,-14.62,-0.0918,-2894.62,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.2316,2026-07-31T11:43:30.231,6.603,67,,,,0,,,,0.0045,-14.20,-0.0936,-2894.20,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.3305,2026-07-31T11:43:30.330,6.702,68,,,,0,,,,0.0070,-13.59,-0.0911,-2893.59,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.4307,2026-07-31T11:43:30.430,6.802,69,,,,0,,,,0.0074,-13.43,-0.0907,-2893.43,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.5314,2026-07-31T11:43:30.531,6.903,70,,,,0,,,,0.0046,-13.26,-0.0936,-2893.26,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.6305,2026-07-31T11:43:30.630,7.002,71,,,,0,,,,0.0100,-13.21,-0.0881,-2893.21,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.7308,2026-07-31T11:43:30.730,7.102,72,,,,0,,,,0.0037,-13.24,-0.0945,-2893.24,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.8302,2026-07-31T11:43:30.830,7.202,73,,,,0,,,,0.0121,-13.40,-0.0860,-2893.40,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512610.9298,2026-07-31T11:43:30.929,7.301,74,,,,0,,,,0.0071,-13.50,-0.0911,-2893.50,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.0291,2026-07-31T11:43:31.029,7.401,75,,,,0,,,,0.0066,-13.80,-0.0915,-2893.80,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.1281,2026-07-31T11:43:31.128,7.500,76,,,,0,,,,0.0078,-14.35,-0.0903,-2894.35,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.2272,2026-07-31T11:43:31.227,7.599,77,,,,0,,,,0.0082,-14.71,-0.0899,-2894.71,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.3272,2026-07-31T11:43:31.327,7.699,78,,,,0,,,,0.0064,-15.59,-0.0918,-2895.59,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.4266,2026-07-31T11:43:31.426,7.798,79,,,,0,,,,0.0049,-16.09,-0.0932,-2896.09,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.5246,2026-07-31T11:43:31.524,7.896,80,,,,0,,,,0.0026,-17.15,-0.0956,-2897.15,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.6242,2026-07-31T11:43:31.624,7.996,81,,,,0,,,,0.0013,-18.27,-0.0968,-2898.27,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.7234,2026-07-31T11:43:31.723,8.095,82,,,,0,,,,-0.0014,-18.85,-0.0995,-2898.85,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.8241,2026-07-31T11:43:31.824,8.196,83,,,,0,,,,-0.0037,-20.01,-0.1018,-2900.01,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512611.9224,2026-07-31T11:43:31.922,8.294,84,,,,0,,,,-0.0022,-20.61,-0.1003,-2900.61,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.0217,2026-07-31T11:43:32.021,8.393,85,,,,0,,,,-0.0040,-21.84,-0.1021,-2901.84,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.1204,2026-07-31T11:43:32.120,8.492,86,,,,0,,,,-0.0027,-23.04,-0.1008,-2903.04,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.2196,2026-07-31T11:43:32.219,8.591,87,,,,0,,,,-0.0045,-23.59,-0.1027,-2903.59,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.3189,2026-07-31T11:43:32.318,8.691,88,,,,0,,,,-0.0029,-24.63,-0.1010,-2904.63,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.4173,2026-07-31T11:43:32.417,8.789,89,,,,0,,,,-0.0028,-25.14,-0.1010,-2905.14,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.5167,2026-07-31T11:43:32.516,8.888,90,,,,0,,,,-0.0038,-26.24,-0.1019,-2906.24,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.6156,2026-07-31T11:43:32.615,8.987,91,,,,0,,,,-0.0043,-26.81,-0.1025,-2906.81,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.7146,2026-07-31T11:43:32.714,9.086,92,,,,0,,,,-0.0043,-28.02,-0.1024,-2908.02,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.8136,2026-07-31T11:43:32.813,9.185,93,,,,0,,,,-0.0098,-29.31,-0.1079,-2909.31,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512612.9143,2026-07-31T11:43:32.914,9.286,94,,,,0,,,,-0.0126,-29.94,-0.1108,-2909.94,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512613.0142,2026-07-31T11:43:33.014,9.386,95,,,,0,,,,-0.0113,-31.10,-0.1094,-2911.10,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785512613.1124,2026-07-31T11:43:33.112,9.484,96,,,,0,,,,-0.0053,-31.65,-0.1034,-2911.65,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
