t_epoch,iso_time,t_elapsed_s,depth_m,depth_target_m,depth_err_m,yaw_deg,yaw_target_deg,yaw_err_deg,surge_cmd,heave_cmd,yaw_cmd,throttle_pct
1785505601.8510,2026-07-31T09:46:41.851,0.000,0.4997,0.5000,-0.0003,15.50,15.00,-0.50,+1.000,-0.332,+0.000,30.0
1785505601.9491,2026-07-31T09:46:41.949,0.098,0.4921,0.5000,-0.0079,15.53,15.00,-0.53,+1.000,-0.347,+0.000,30.0
1785505602.0484,2026-07-31T09:46:42.048,0.197,0.4989,0.5000,-0.0011,15.50,15.00,-0.50,+1.000,-0.334,+0.000,30.0
1785505602.1486,2026-07-31T09:46:42.148,0.298,0.4994,0.5000,-0.0006,15.27,15.00,-0.27,+1.000,-0.333,+0.000,30.0
1785505602.2480,2026-07-31T09:46:42.248,0.397,0.5015,0.5000,+0.0015,14.59,15.00,+0.41,+1.000,-0.328,+0.000,30.0
1785505602.3471,2026-07-31T09:46:42.347,0.496,0.4941,0.5000,-0.0059,14.31,15.00,+0.69,+1.000,-0.343,+0.000,30.0
1785505602.4460,2026-07-31T09:46:42.446,0.595,0.4810,0.5000,-0.0190,13.82,15.00,+1.18,+1.000,-0.370,+0.000,30.0
1785505602.5451,2026-07-31T09:46:42.545,0.694,0.4946,0.5000,-0.0054,13.61,15.00,+1.39,+1.000,-0.342,+0.000,30.0
1785505602.6448,2026-07-31T09:46:42.644,0.794,0.4929,0.5000,-0.0071,13.33,15.00,+1.67,+1.000,-0.346,+0.000,30.0
1785505602.7446,2026-07-31T09:46:42.744,0.894,0.4947,0.5000,-0.0053,13.28,15.00,+1.72,+1.000,-0.342,+0.000,30.0
1785505602.8440,2026-07-31T09:46:42.844,0.993,0.4937,0.5000,-0.0063,13.34,15.00,+1.66,+1.000,-0.344,+0.000,30.0
1785505602.9427,2026-07-31T09:46:42.942,1.092,0.4802,0.5000,-0.0198,13.65,15.00,+1.35,+1.000,-0.371,+0.000,30.0
1785505603.0422,2026-07-31T09:46:43.042,1.191,0.4762,0.5000,-0.0238,13.87,15.00,+1.13,+1.000,-0.380,+0.000,30.0
1785505603.1414,2026-07-31T09:46:43.141,1.290,0.4619,0.5000,-0.0381,14.32,15.00,+0.68,+1.000,-0.410,+0.000,30.0
1785505603.2388,2026-07-31T09:46:43.238,1.388,0.4517,0.5000,-0.0483,14.93,15.00,+0.07,+1.000,-0.432,+0.000,30.0
1785505603.3381,2026-07-31T09:46:43.338,1.487,0.4493,0.5000,-0.0507,15.21,15.00,-0.21,+1.000,-0.438,+0.000,30.0
1785505603.4370,2026-07-31T09:46:43.437,1.586,0.4384,0.5000,-0.0616,15.81,15.00,-0.81,+1.000,-0.463,+0.000,30.0
1785505603.5360,2026-07-31T09:46:43.536,1.685,0.4451,0.5000,-0.0549,16.12,15.00,-1.12,+1.000,-0.451,+0.000,30.0
1785505603.6361,2026-07-31T09:46:43.636,1.785,0.4371,0.5000,-0.0629,16.84,15.00,-1.84,+1.000,-0.470,+0.000,30.0
1785505603.7364,2026-07-31T09:46:43.736,1.886,0.4368,0.5000,-0.0632,17.24,15.00,-2.24,+1.000,-0.473,+0.041,30.0
1785505603.8349,2026-07-31T09:46:43.834,1.984,0.4408,0.5000,-0.0592,18.12,15.00,-3.12,+1.000,-0.468,+0.058,30.0
1785505603.9346,2026-07-31T09:46:43.934,2.084,0.4478,0.5000,-0.0522,18.69,15.00,-3.69,+1.000,-0.456,+0.070,30.0
1785505604.0347,2026-07-31T09:46:44.034,2.184,0.4557,0.5000,-0.0443,18.86,15.00,-3.86,+1.000,-0.442,+0.074,30.0
1785505604.1340,2026-07-31T09:46:44.134,2.283,0.4613,0.5000,-0.0387,19.12,15.00,-4.12,+1.000,-0.432,+0.081,30.0
1785505604.2342,2026-07-31T09:46:44.234,2.383,0.4672,0.5000,-0.0328,19.18,15.00,-4.18,+1.000,-0.422,+0.083,30.0
1785505604.3344,2026-07-31T09:46:44.334,2.484,0.4814,0.5000,-0.0186,19.28,15.00,-4.28,+1.000,-0.394,+0.087,30.0
1785505604.4328,2026-07-31T09:46:44.432,2.582,0.4940,0.5000,-0.0060,19.10,15.00,-4.10,+1.000,-0.369,+0.085,30.0
1785505604.5322,2026-07-31T09:46:44.532,2.681,0.5015,0.5000,+0.0015,18.85,15.00,-3.85,+1.000,-0.354,+0.082,30.0
1785505604.6314,2026-07-31T09:46:44.631,2.781,0.5228,0.5000,+0.0228,18.27,15.00,-3.27,+1.000,-0.311,+0.073,30.0
1785505604.7299,2026-07-31T09:46:44.729,2.879,0.5229,0.5000,+0.0229,17.96,15.00,-2.96,+1.000,-0.310,+0.069,30.0
1785505604.8288,2026-07-31T09:46:44.828,2.978,0.5395,0.5000,+0.0395,17.28,15.00,-2.28,+1.000,-0.275,+0.058,30.0
1785505604.9278,2026-07-31T09:46:44.927,3.077,0.5546,0.5000,+0.0546,16.83,15.00,-1.83,+1.000,-0.243,+0.000,30.0
1785505605.0272,2026-07-31T09:46:45.027,3.176,0.5822,0.5000,+0.0822,15.98,15.00,-0.98,+1.000,-0.185,+0.000,30.0
1785505605.1263,2026-07-31T09:46:45.126,3.275,0.5773,0.5000,+0.0773,15.24,15.00,-0.24,+1.000,-0.192,+0.000,30.0
1785505605.2248,2026-07-31T09:46:45.224,3.374,0.5894,0.5000,+0.0894,14.95,15.00,+0.05,+1.000,-0.164,+0.000,30.0
1785505605.3239,2026-07-31T09:46:45.323,3.473,0.6036,0.5000,+0.1036,14.25,15.00,+0.75,+1.000,-0.131,+0.000,30.0
