t_epoch,iso_time,t_elapsed_s,depth_m,depth_target_m,depth_err_m,yaw_deg,yaw_target_deg,yaw_err_deg,surge_cmd,heave_cmd,yaw_cmd,throttle_pct
1785505911.6972,2026-07-31T09:51:51.697,0.000,1.0196,1.0000,+0.0196,21.74,20.00,-1.74,+1.000,-0.264,+0.000,30.0
1785505911.7961,2026-07-31T09:51:51.796,0.099,1.0197,1.0000,+0.0197,22.15,20.00,-2.15,+1.000,-0.264,+0.039,30.0
1785505911.8962,2026-07-31T09:51:51.896,0.199,1.0198,1.0000,+0.0198,22.37,20.00,-2.37,+1.000,-0.264,+0.044,30.0
1785505911.9978,2026-07-31T09:51:51.997,0.301,1.0184,1.0000,+0.0184,22.83,20.00,-2.83,+1.000,-0.266,+0.053,30.0
1785505912.0988,2026-07-31T09:51:52.099,0.402,1.0231,1.0000,+0.0231,22.88,20.00,-2.88,+1.000,-0.256,+0.055,30.0
1785505912.1977,2026-07-31T09:51:52.197,0.501,1.0178,1.0000,+0.0178,22.70,20.00,-2.70,+1.000,-0.267,+0.053,30.0
1785505912.2954,2026-07-31T09:51:52.295,0.598,0.9949,1.0000,-0.0051,22.48,20.00,-2.48,+1.000,-0.312,+0.050,30.0
1785505912.3945,2026-07-31T09:51:52.394,0.697,1.0205,1.0000,+0.0205,22.31,20.00,-2.31,+1.000,-0.260,+0.048,30.0
1785505912.4937,2026-07-31T09:51:52.493,0.797,1.0208,1.0000,+0.0208,21.98,20.00,-1.98,+1.000,-0.259,+0.000,30.0
1785505912.5923,2026-07-31T09:51:52.592,0.895,1.0210,1.0000,+0.0210,21.85,20.00,-1.85,+1.000,-0.258,+0.000,30.0
1785505912.6915,2026-07-31T09:51:52.691,0.995,1.0136,1.0000,+0.0136,21.85,20.00,-1.85,+1.000,-0.272,+0.000,30.0
1785505912.7904,2026-07-31T09:51:52.790,1.093,1.0128,1.0000,+0.0128,22.02,20.00,-2.02,+1.000,-0.274,+0.037,30.0
1785505912.8892,2026-07-31T09:51:52.889,1.192,1.0104,1.0000,+0.0104,22.13,20.00,-2.13,+1.000,-0.278,+0.039,30.0
1785505912.9888,2026-07-31T09:51:52.988,1.292,0.9950,1.0000,-0.0050,22.13,20.00,-2.13,+1.000,-0.309,+0.040,30.0
1785505913.0883,2026-07-31T09:51:53.088,1.391,1.0002,1.0000,+0.0002,22.09,20.00,-2.09,+1.000,-0.299,+0.040,30.0
1785505913.1873,2026-07-31T09:51:53.187,1.490,0.9935,1.0000,-0.0065,21.92,20.00,-1.92,+1.000,-0.312,+0.000,30.0
1785505913.2861,2026-07-31T09:51:53.286,1.589,0.9884,1.0000,-0.0116,21.92,20.00,-1.92,+1.000,-0.322,+0.000,30.0
1785505913.3867,2026-07-31T09:51:53.386,1.690,0.9860,1.0000,-0.0140,22.00,20.00,-2.00,+1.000,-0.327,+0.036,30.0
1785505913.4858,2026-07-31T09:51:53.486,1.789,0.9844,1.0000,-0.0156,22.01,20.00,-2.01,+1.000,-0.330,+0.037,30.0
1785505913.5845,2026-07-31T09:51:53.584,1.888,0.9850,1.0000,-0.0150,21.97,20.00,-1.97,+1.000,-0.330,+0.000,30.0
1785505913.6837,2026-07-31T09:51:53.683,1.987,0.9825,1.0000,-0.0175,21.90,20.00,-1.90,+1.000,-0.334,+0.000,30.0
1785505913.7827,2026-07-31T09:51:53.782,2.086,0.9938,1.0000,-0.0062,21.90,20.00,-1.90,+1.000,-0.312,+0.000,30.0
1785505913.8813,2026-07-31T09:51:53.881,2.184,0.9976,1.0000,-0.0024,21.93,20.00,-1.93,+1.000,-0.304,+0.000,30.0
1785505913.9808,2026-07-31T09:51:53.980,2.284,0.9987,1.0000,-0.0013,21.84,20.00,-1.84,+1.000,-0.302,+0.000,30.0
1785505914.0800,2026-07-31T09:51:54.080,2.383,1.0079,1.0000,+0.0079,21.76,20.00,-1.76,+1.000,-0.284,+0.000,30.0
1785505914.1785,2026-07-31T09:51:54.178,2.482,1.0153,1.0000,+0.0153,21.49,20.00,-1.49,+1.000,-0.269,+0.000,30.0
1785505914.2775,2026-07-31T09:51:54.277,2.581,1.0337,1.0000,+0.0337,21.34,20.00,-1.34,+1.000,-0.231,+0.000,30.0
1785505914.3762,2026-07-31T09:51:54.376,2.679,1.0547,1.0000,+0.0547,21.06,20.00,-1.06,+1.000,-0.188,+0.000,30.0
1785505914.4761,2026-07-31T09:51:54.476,2.779,1.0353,1.0000,+0.0353,20.91,20.00,-0.91,+1.000,-0.225,+0.000,30.0
