t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785509336.9206,2026-07-31T10:48:56.920,0.047,1,,,,0,,,,,,,,0,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.0196,2026-07-31T10:48:57.019,0.146,2,,,,0,,,,-0.1541,-177.13,-0.1541,-537.13,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.1195,2026-07-31T10:48:57.119,0.246,3,,,,0,,,,-0.1575,-177.15,-0.1575,-537.15,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.2187,2026-07-31T10:48:57.218,0.345,4,,,,0,,,,-0.1542,-177.17,-0.1542,-537.17,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.3176,2026-07-31T10:48:57.317,0.444,5,,,,0,,,,-0.1530,-177.20,-0.1530,-537.20,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.4180,2026-07-31T10:48:57.417,0.544,6,,,,0,,,,-0.1588,-177.22,-0.1588,-537.22,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.5171,2026-07-31T10:48:57.517,0.643,7,,,,0,,,,-0.1555,-177.24,-0.1555,-537.24,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.6155,2026-07-31T10:48:57.615,0.742,8,,,,0,,,,-0.1549,-177.25,-0.1549,-537.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.7150,2026-07-31T10:48:57.715,0.841,9,,,,0,,,,-0.1512,-177.29,-0.1512,-537.29,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.8142,2026-07-31T10:48:57.814,0.940,10,,,,0,,,,-0.1562,-177.31,-0.1562,-537.31,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509337.9134,2026-07-31T10:48:57.913,1.039,11,,,,0,,,,-0.1522,-177.32,-0.1522,-537.32,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
