t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785504893.9738,2026-07-31T09:34:53.973,0.047,1,,,,0,,,,,,,,0,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.0727,2026-07-31T09:34:54.072,0.146,2,,,,0,,,,-0.0896,-0.20,-0.0896,-0.20,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.1714,2026-07-31T09:34:54.171,0.244,3,,,,0,,,,-0.0951,-0.20,-0.0951,-0.20,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.2715,2026-07-31T09:34:54.271,0.345,4,,,,0,,,,-0.0961,-0.21,-0.0961,-0.21,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.3699,2026-07-31T09:34:54.369,0.443,5,,,,0,,,,-0.0893,-0.21,-0.0893,-0.21,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.4692,2026-07-31T09:34:54.469,0.542,6,,,,0,,,,-0.0897,-0.22,-0.0897,-0.22,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.5680,2026-07-31T09:34:54.568,0.641,7,,,,0,,,,-0.0917,-0.21,-0.0917,-0.21,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.6667,2026-07-31T09:34:54.666,0.740,8,,,,0,,,,-0.0918,-0.21,-0.0918,-0.21,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.7657,2026-07-31T09:34:54.765,0.839,9,,,,0,,,,-0.0885,-0.22,-0.0885,-0.22,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.8660,2026-07-31T09:34:54.866,0.939,10,,,,0,,,,-0.0949,-0.23,-0.0949,-0.23,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504894.9651,2026-07-31T09:34:54.965,1.038,11,,,,0,,,,-0.0844,-0.23,-0.0844,-0.23,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.0636,2026-07-31T09:34:55.063,1.137,12,,,,0,,,,-0.0901,-0.23,-0.0901,-0.23,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.1633,2026-07-31T09:34:55.163,1.236,13,,,,0,,,,-0.0920,-0.24,-0.0920,-0.24,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.2638,2026-07-31T09:34:55.263,1.337,14,,,,0,,,,-0.0902,-0.24,-0.0902,-0.24,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.3625,2026-07-31T09:34:55.362,1.436,15,,,,0,,,,-0.0921,-0.25,-0.0921,-0.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.4622,2026-07-31T09:34:55.462,1.535,16,,,,0,,,,-0.0944,-0.24,-0.0944,-0.24,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.5618,2026-07-31T09:34:55.561,1.635,17,,,,0,,,,-0.0919,-0.25,-0.0919,-0.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.6603,2026-07-31T09:34:55.660,1.733,18,,,,0,,,,-0.0937,-0.25,-0.0937,-0.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.7588,2026-07-31T09:34:55.758,1.832,19,,,,0,,,,-0.0952,-0.25,-0.0952,-0.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.8577,2026-07-31T09:34:55.857,1.931,20,,,,0,,,,-0.0929,-0.25,-0.0929,-0.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504895.9577,2026-07-31T09:34:55.957,2.031,21,,,,0,,,,-0.0911,-0.26,-0.0911,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.0570,2026-07-31T09:34:56.057,2.130,22,,,,0,,,,-0.0910,-0.26,-0.0910,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.1568,2026-07-31T09:34:56.156,2.230,23,,,,0,,,,-0.0949,-0.27,-0.0949,-0.27,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.2572,2026-07-31T09:34:56.257,2.330,24,,,,0,,,,-0.0932,-0.27,-0.0932,-0.27,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.3566,2026-07-31T09:34:56.356,2.430,25,,,,0,,,,-0.0915,-0.26,-0.0915,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.4553,2026-07-31T09:34:56.455,2.528,26,,,,0,,,,-0.0927,-0.26,-0.0927,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.5551,2026-07-31T09:34:56.555,2.628,27,,,,0,,,,-0.0921,-0.26,-0.0921,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.6552,2026-07-31T09:34:56.655,2.728,28,,,,0,,,,-0.0927,-0.25,-0.0927,-0.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.7541,2026-07-31T09:34:56.754,2.827,29,,,,0,,,,-0.0901,-0.25,-0.0901,-0.25,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.8530,2026-07-31T09:34:56.852,2.926,30,,,,0,,,,-0.0898,-0.26,-0.0898,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504896.9531,2026-07-31T09:34:56.953,3.026,31,,,,0,,,,-0.0959,-0.26,-0.0959,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504897.0528,2026-07-31T09:34:57.052,3.126,32,,,,0,,,,-0.0959,-0.26,-0.0959,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504897.1522,2026-07-31T09:34:57.152,3.225,33,,,,0,,,,-0.0931,-0.26,-0.0931,-0.26,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504897.2509,2026-07-31T09:34:57.250,3.324,34,,,,0,,,,-0.0933,-0.27,-0.0933,-0.27,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785504897.3512,2026-07-31T09:34:57.351,3.424,35,,,,0,,,,-0.0959,-0.27,-0.0959,-0.27,1,30.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
